gene_combination,sens.score,rank
FEN1;WDR48,-3.556486738,1
BRCA2;LIG1,-3.501877498,2
C19orf40;SMARCAL1,-3.236678173,3
APEX2;FZR1,-3.206564129,4
CHEK1_mis;TOP3A,-3.18477082,5
FANCM;SMARCAL1,-2.971607016,6
LIG1;WDR48,-2.958083444,7
BRCA2;RAD9A_mis,-2.922471157,8
ASCC3;GINS4_mis,-2.881746961,9
APEX2;BRCA2,-2.881329361,10
LIG1;XRCC1,-2.83753573,11
RBX1_mis;SMC3,-2.825349616,12
LIG1;LIG3,-2.822850322,13
RAD9A_mis;RPA1_mis,-2.772868724,14
ATRIP_mis;DDX11,-2.751029793,15
FANCF;RUVBL1_mis,-2.729377125,16
PRKDC;XRCC6_mis,-2.725256818,17
COPS3;GINS4_mis,-2.710764576,18
FAM175A;GINS4_mis,-2.687672993,19
ATRIP_mis;CHEK1_mis,-2.652161135,20
BRCA1_mis;HINFP_mis,-2.642345555,21
BARD1;FANCD2,-2.640824751,22
ATR;RAD51C,-2.63891274,23
POLD3_mis;RAD51C,-2.630060718,24
POLA1;WDR48,-2.615487571,25
BRCA2;CHEK1_mis,-2.611196793,26
FZR1;SFPQ,-2.574780123,27
RAD51C;RBX1_mis,-2.573539568,28
ATRIP_mis;DTL,-2.569388494,29
ACTL6A_mis;COPS5,-2.565546515,30
MCM4;PRKDC,-2.565027646,31
GINS4_mis;PPP4R2,-2.54859324,32
GINS4_mis;GTF2H5,-2.537474771,33
ATRX_mis;RAD9A_mis,-2.535284981,34
ACTR8_mis;CINP,-2.520035988,35
MEAF6;XAB2_mis,-2.518349064,36
BRCA2;TRRAP,-2.516038847,37
GINS4_mis;MTA1,-2.496218942,38
CHEK1_mis;FZR1,-2.485700536,39
ATR;MEN1,-2.48331155,40
GTF2H5;MNAT1,-2.480371671,41
ACTL6A_mis;MEN1,-2.473295864,42
RFC1;SUPT16H,-2.472628132,43
BRCA2;RFC5_mis,-2.47251753,44
BARD1;FANCF,-2.469167813,45
GINS4_mis;UPF1,-2.468171122,46
LIG1;PCNA,-2.459712425,47
EYA3;GINS4_mis,-2.455547989,48
BRCA1_mis;C19orf40,-2.451793398,49
LIG1;PALB2,-2.450655076,50
CHEK1_mis;RAD9A_mis,-2.44466056,51
CHAF1A;MEAF6,-2.418562229,52
GINS4_mis;XRCC6_mis,-2.414566548,53
COPS5;SMC3,-2.408225778,54
BRCA2;RHNO1,-2.40575586,55
HUS1_mis;RAD51C,-2.402060777,56
UBE2B;UVSSA,-2.398180151,57
CDC7;PCNA,-2.397664607,58
RAD51C;WDHD1_mis,-2.394242736,59
CDK2;POLN,-2.391992157,60
DTL;RFC2_mis,-2.381017582,61
MCM4;MEAF6,-2.364798078,62
MEN1;SMC6,-2.359861181,63
APEX2;GINS4_mis,-2.346077682,64
BRCA1_mis;DNA2_mis,-2.34589414,65
ATRX_mis;RBX1_mis,-2.342415217,66
INO80_mis;TRRAP,-2.341328518,67
INO80B_mis;SSRP1_mis,-2.339456814,68
GTF2H3;MCM4,-2.338414046,69
COPS4;HINFP_mis,-2.338206976,70
ATRX_mis;RAD51C,-2.337008311,71
SUMO1;UVSSA,-2.329178342,72
COPS5;RBX1_mis,-2.322801864,73
BRCA1_mis;HUS1_mis,-2.321655381,74
POLD3_mis;TICRR_mis,-2.316657151,75
PCNA;RAD1,-2.304374065,76
RAD51;UHRF1,-2.302786906,77
NFRKB;RPS3_mis,-2.302220513,78
POLN;TOPBP1_mis,-2.299602661,79
ATR;NPLOC4,-2.296576798,80
COPS5;RPS3_mis,-2.294906001,81
FZR1;TRIP13,-2.2944297,82
POLN;RAD51C,-2.29278299,83
CCNH_mis;HUS1_mis,-2.288907186,84
FANCD2;SMARCAL1,-2.287590125,85
GINS4_mis;UFD1L,-2.287549101,86
BARD1;RUVBL1_mis,-2.287120034,87
BARD1;MEAF6,-2.283613428,88
COPS2;FZR1,-2.281199074,89
ING3;RAD51,-2.279121661,90
BARD1;FANCM,-2.2721503,91
GINS4_mis;TRIP12,-2.269686976,92
CDC45;UFD1L,-2.269442089,93
BRCA2;COPS5,-2.264834411,94
FANCD2;RPA1_mis,-2.263029747,95
BARD1;PRPF19_mis,-2.261407001,96
COPS8;ESCO2,-2.255519266,97
COPS8;HUS1_mis,-2.240298835,98
FZR1;MCM5,-2.239410698,99
ATR;RAD9B,-2.232985776,100
ASCC2;ASCC3,-2.227076243,101
FZR1;RUVBL1_mis,-2.227010893,102
INO80E;RAD9A_mis,-2.225736162,103
FZR1;MRE11A,-2.225270222,104
TIMELESS_mis;TOPBP1_mis,-2.222306657,105
ASCC3;BLM,-2.216657424,106
FOXM1;GINS4_mis,-2.208234512,107
FOXM1;RAD51C,-2.207857597,108
ACTR8_mis;GTF2H3,-2.207589316,109
APEX2;FANCD2,-2.204013536,110
APEX2;CDC7,-2.20088253,111
ACTL6A_mis;DMAP1_mis,-2.200690566,112
CDK2;POLR2F,-2.199716279,113
FANCF;RPA1_mis,-2.189821039,114
BRCA2;PTTG1,-2.187102744,115
POLA1;TOPBP1_mis,-2.182302212,116
BRCA2;POLQ,-2.182216963,117
MEAF6;VCP_mis,-2.178346904,118
ATRIP_mis;CLSPN,-2.178095619,119
RFC2_mis;UHRF1,-2.177470698,120
RFC3_mis;SHFM1_mis,-2.176221693,121
GTF2H3;GTF2H5,-2.171144312,122
PPP4R2;VCP_mis,-2.170023087,123
MEAF6;PTTG1,-2.167428668,124
CHEK2;RAD9A_mis,-2.164296062,125
BARD1;ING3,-2.16419926,126
BARD1;POLN,-2.157516035,127
APEX2;UPF1,-2.157210397,128
COPS5;GTF2H3,-2.154726602,129
COPS8;XAB2_mis,-2.154236612,130
SHFM1_mis;XRCC2,-2.152634607,131
BRCA1_mis;TOP3A,-2.145900823,132
COPS5;HUS1_mis,-2.140598099,133
HUWE1;ING3,-2.140572514,134
COPS8;PTTG1,-2.14048093,135
CCNH_mis;WDR70_mis,-2.134080641,136
DTL;RAD51,-2.130336972,137
DTL;XAB2_mis,-2.124580991,138
BARD1;FANCA,-2.120943827,139
SMC3;TOPBP1_mis,-2.120827414,140
GTF2H1;GTF2H3,-2.12075043,141
BRCA2;MCM5,-2.119427108,142
INO80_mis;NFRKB,-2.119360555,143
INO80_mis;SMC6,-2.118019273,144
MEAF6;RPS3_mis,-2.116392924,145
ATR;FANCF,-2.111658684,146
FZR1;WDR33_mis,-2.107663809,147
HUS1_mis;POLD3_mis,-2.107215553,148
HUS1_mis;PRKDC,-2.104204721,149
TAOK3;UVSSA,-2.102618263,150
GTF2H4_mis;UBR5,-2.1015523,151
CHEK1_mis;HUS1_mis,-2.099459345,152
ING3;MCM7,-2.092128146,153
MTA1;UVSSA,-2.090098027,154
MCM7;TRRAP,-2.089364212,155
CHEK1_mis;RAD9B,-2.085445259,156
CHEK1_mis;POLD3_mis,-2.08438174,157
EP400;MCM7,-2.079657673,158
COPS5;DMAP1_mis,-2.074256954,159
FZR1;PCNA,-2.074231488,160
DTL;POLR2F,-2.07081994,161
POLR2F;SMC3,-2.07074171,162
RBX1_mis;TOPBP1_mis,-2.067549577,163
BARD1;PPP4C,-2.067336834,164
NFRKB;RFC2_mis,-2.066384941,165
RFC2_mis;VPS72_mis,-2.066145885,166
FEN1;RAD51C,-2.065331045,167
POLR1A;SHFM1_mis,-2.064772393,168
DOT1L;MRE11A,-2.063086861,169
ATR;POLA1,-2.063086199,170
FZR1;MMS19,-2.061236113,171
HUS1_mis;RNF113A_mis,-2.060990563,172
HUS1_mis;MMS22L,-2.059228051,173
BRCA2;XAB2_mis,-2.056206983,174
MTA1;TOPBP1_mis,-2.055836139,175
ING3;WDHD1_mis,-2.054773134,176
DNA2_mis;MEAF6,-2.054282274,177
CEBPG;POLA1,-2.053398343,178
TICRR_mis;VPS72_mis,-2.053334609,179
POLN;VCP_mis,-2.052351169,180
HUS1_mis;ING3,-2.052136424,181
INO80_mis;PTTG1,-2.050891796,182
ASCC3;TOPBP1_mis,-2.050674197,183
BRCA2;RAD1,-2.049516823,184
TDP2;TERF2,-2.049335219,185
FANCF;TIMELESS_mis,-2.048394793,186
PCNA;SHFM1_mis,-2.040628623,187
TICRR_mis;TMEM189.UBE2V1,-2.040319245,188
INO80B_mis;VPS72_mis,-2.038629187,189
ATR;RFC3_mis,-2.037485267,190
PRPF19_mis;UVSSA,-2.036376748,191
RAD9A_mis;RFC3_mis,-2.034698222,192
GTF2H1;RFC5_mis,-2.032034167,193
BRCA1_mis;PRPF19_mis,-2.030506274,194
ACTR5;FZR1,-2.02990868,195
CEBPG;ING3,-2.029115488,196
VPS72_mis;XRCC3,-2.028595567,197
DMAP1_mis;MEAF6,-2.027777701,198
CDC7;COPS2,-2.027761425,199
SHFM1_mis;SMC6,-2.02713854,200
CDK7_mis;ERCC5,-2.026971236,201
BLM;TOP3A,-2.026526625,202
APEX2;SLX4,-2.0261998,203
SUPT16H;TOPBP1_mis,-2.026135213,204
BRCA1_mis;FANCF,-2.023744377,205
HIST3H3;XAB2_mis,-2.023490207,206
SMC3;TRRAP,-2.022489122,207
RFC5_mis;WDHD1_mis,-2.020553686,208
PTTG1;TOPBP1_mis,-2.019848459,209
INO80E;SFPQ,-2.016805219,210
BARD1;FZR1,-2.016583742,211
MEAF6;NPLOC4,-2.015335369,212
FEN1;FZR1,-2.015106863,213
PPP4C;XAB2_mis,-2.012088631,214
TERF2;UBE2N,-2.010843731,215
TOP3A;UBE2B,-2.010568839,216
APEX2;RAD51C,-2.009964606,217
FZR1;GINS4_mis,-2.009683389,218
DNA2_mis;NFRKB,-2.009070419,219
DTL;PPP4C,-2.009066719,220
FANCF;GTF2H5,-2.008493613,221
MEAF6;TFPT,-2.008122678,222
RPA3_mis;WDHD1_mis,-2.005712854,223
ATRX_mis;VPS72_mis,-2.003057322,224
POLD3_mis;RFC5_mis,-2.000778762,225
SHFM1_mis;TOPBP1_mis,-2.000435904,226
SMG1;UPF1,-2.000359791,227
MTA1;TRIP13,-1.999684445,228
RAD9A_mis;TOP3A,-1.999489861,229
GTF2H1;MNAT1,-1.999093355,230
RFC3_mis;WDR70_mis,-1.998081866,231
FAM175A;MCM7,-1.9967379,232
FANCF;GTF2H3,-1.996013207,233
RFC2_mis;WDR70_mis,-1.99537137,234
RAD9A_mis;RUVBL1_mis,-1.992025563,235
COPS8;UHRF1,-1.9890828,236
GTF2H1;RFC2_mis,-1.986817253,237
TRRAP;XRCC3,-1.985746393,238
GINS4_mis;RMI1,-1.984733006,239
ACTR8_mis;RBX1_mis,-1.982184542,240
FZR1;UHRF1,-1.982179058,241
RPA1_mis;SHFM1_mis,-1.980186887,242
ATR;TOPBP1_mis,-1.978481049,243
BARD1;RPA1_mis,-1.978419026,244
PCNA;PRKDC,-1.975759841,245
ESCO2;POLN,-1.971997518,246
DDX1;RAD9B,-1.969652849,247
FAM168A;SHFM1_mis,-1.969364149,248
BLM;VPS72_mis,-1.968227941,249
EP400;POLA1,-1.967640808,250
COPS8;GINS4_mis,-1.966288222,251
NDNL2;RAD1,-1.96610296,252
GTF2H3;PCNA,-1.966043673,253
INO80E;TOPBP1_mis,-1.965797707,254
CLSPN;RAD51,-1.965268194,255
RPS3_mis;UCHL5,-1.963508594,256
ATRIP_mis;RECQL4_mis,-1.963474781,257
CDK2;GTF2H1,-1.963060534,258
FZR1;NPLOC4,-1.962922035,259
CHEK1_mis;TOPBP1_mis,-1.959780299,260
ATRX_mis;TRRAP,-1.95963241,261
COPS8;DNA2_mis,-1.958791806,262
SHFM1_mis;TMEM189.UBE2V1,-1.958304343,263
COPS5;RAD9A_mis,-1.954996309,264
DDX11;VPS72_mis,-1.953486724,265
ATRX_mis;RAD9B,-1.951236104,266
MDC1;SHFM1_mis,-1.949587008,267
ASCC3;SFPQ,-1.948923983,268
DDB1_mis;DNA2_mis,-1.948818959,269
CHAF1A;PRPF19_mis,-1.947046015,270
RFC1;WDR48,-1.946844013,271
POLR2F;RBX1_mis,-1.946717501,272
RPAIN;TERF2,-1.946333838,273
OTUB1;RNF8,-1.94046628,274
GTF2H4_mis;RFC5_mis,-1.93914508,275
COPS3;FZR1,-1.935656581,276
ATRX_mis;INO80_mis,-1.931118693,277
ATR;GTF2H1,-1.9309302,278
FANCE;HUS1_mis,-1.929447062,279
CHEK1_mis;INO80B_mis,-1.92735157,280
NDNL2;TOP3A,-1.926742489,281
APEX2;GTF2H5,-1.926738686,282
POLD3_mis;UHRF1,-1.925916575,283
DOT1L;GINS4_mis,-1.925323841,284
NFRKB;SFPQ,-1.925210179,285
POLR2L;TOP3A,-1.923116431,286
GINS4_mis;INO80C,-1.922510659,287
ATR;POLR2L,-1.921257242,288
RAD9A_mis;RAD9B,-1.920953268,289
RFC4_mis;SUMO1,-1.919906964,290
KDM2A;TOPBP1_mis,-1.918100835,291
ERCC3_mis;HINFP_mis,-1.917059317,292
MCM4;PPP4C,-1.915011198,293
NPLOC4;SMC3,-1.913271025,294
SMARCAL1;UBE2T,-1.910789849,295
FANCC;POLR2L,-1.910541446,296
MCRS1;TERF2,-1.909439973,297
GTF2H1;POLA1,-1.908801818,298
BARD1;INO80_mis,-1.907582586,299
CDK7_mis;VCP_mis,-1.905421853,300
FEN1;GINS4_mis,-1.905164141,301
ACTR5;GTF2H5,-1.903268158,302
ATRX_mis;UHRF1,-1.902570494,303
GINS4_mis;SLC30A9,-1.902336898,304
BRCA1_mis;RAD9A_mis,-1.90093925,305
OTUB1;POLA1,-1.899317557,306
BRCA1_mis;PTTG1,-1.898181851,307
ACTR5;TOPBP1_mis,-1.89675227,308
MRE11A;RBM17_mis,-1.894961002,309
SUMO1;TRRAP,-1.893744104,310
RAD51C;TOPBP1_mis,-1.890694502,311
ACTR8_mis;ATR,-1.889336345,312
ACTL6A_mis;MCRS1,-1.886349251,313
RBM17_mis;VPS72_mis,-1.885028964,314
CHEK1_mis;POLR2B_mis,-1.883903435,315
DDX1;HINFP_mis,-1.883740316,316
ATRX_mis;GTF2H1,-1.882068232,317
CLSPN;RBX1_mis,-1.881667351,318
MCM7;RFC3_mis,-1.881548897,319
DNA2_mis;MEN1,-1.881076586,320
INO80_mis;RAD9B,-1.880067891,321
UPF1;XAB2_mis,-1.879907163,322
COPS5;POLA1,-1.877852389,323
GTF2H1;TRRAP,-1.877488067,324
NPLOC4;RBX1_mis,-1.877382274,325
FANCC;MEAF6,-1.876421587,326
FZR1;MUM1,-1.874803603,327
PRPF19_mis;TERF2,-1.874450013,328
INO80_mis;RPS3_mis,-1.873543169,329
HUS1_mis;MCM5,-1.872551826,330
HINFP_mis;WDR70_mis,-1.871309275,331
BRCA1_mis;VPS72_mis,-1.871168595,332
POLR2E_mis;RAD9A_mis,-1.871153236,333
BRCA1_mis;RFC3_mis,-1.870059152,334
ACTR8_mis;CDK7_mis,-1.868065535,335
FANCM;RPA1_mis,-1.867886611,336
PPP4C;PRPF19_mis,-1.867091543,337
RAD1;TOP3A,-1.865910049,338
BRCA1_mis;SMC3,-1.865537674,339
ATRIP_mis;RNF113A_mis,-1.863041356,340
ATRIP_mis;XRCC5_mis,-1.862299316,341
RAD51C;RNF8,-1.862264621,342
RAD9B;RFC2_mis,-1.861392301,343
C19orf40;RPA1_mis,-1.860008453,344
LIG1;POLR2L,-1.859508065,345
ATRX_mis;VCP_mis,-1.859478116,346
ATRIP_mis;XRCC6_mis,-1.858185587,347
NFRKB;RAD9B,-1.857738187,348
NEIL3;WDR70_mis,-1.857374092,349
FANCC;SMC3,-1.856631571,350
ATRIP_mis;RAD9B,-1.856620092,351
ATRX_mis;CCNH_mis,-1.853905653,352
MCM7;XRCC2,-1.853036814,353
BRCA2;POLR2E_mis,-1.852861878,354
ATRX_mis;GTF2H4_mis,-1.852512866,355
BARD1;CCNH_mis,-1.852379221,356
SMC6;SWI5,-1.850723074,357
RAD51;WDR70_mis,-1.850044464,358
ATRX_mis;RAD51,-1.849714852,359
BRCA1_mis;DTL,-1.847589196,360
APEX2;HUS1_mis,-1.847589195,361
ING3;RBX1_mis,-1.847224879,362
FZR1;RAD1,-1.846883088,363
APEX2;C19orf40,-1.846324974,364
MCM3_mis;POLR2F,-1.845275631,365
FZR1;HUS1_mis,-1.84389171,366
NPLOC4;RAD51C,-1.843613531,367
COPS8;WDR70_mis,-1.842806702,368
DDX1;INO80E,-1.842585328,369
RFC1;RIF1,-1.842498631,370
BRCA2;ESCO2,-1.842029603,371
NDNL2;NSMCE2,-1.840408093,372
MEAF6;MMS22L,-1.840194645,373
CDK7_mis;MEAF6,-1.839212201,374
GTF2H3;SFPQ,-1.839130547,375
ATRX_mis;BRCA1_mis,-1.83862438,376
MEN1;RFC3_mis,-1.838453752,377
CHEK2;TOP3A,-1.837771434,378
DNA2_mis;GINS4_mis,-1.837407053,379
HUS1_mis;SMC1A_mis,-1.835008869,380
RAD9A_mis;SMC3,-1.834455636,381
MCM7;TONSL_mis,-1.833212658,382
DDB1_mis;WDHD1_mis,-1.832927093,383
PPP4C;SHFM1_mis,-1.832767727,384
ESCO2;MCM5,-1.831655589,385
CCNH_mis;RAD9A_mis,-1.830967838,386
RFC2_mis;TOPBP1_mis,-1.830966768,387
APEX2;SUPT16H,-1.830760265,388
CHEK2;PPP4C,-1.829626473,389
INO80B_mis;POLR2B_mis,-1.827968809,390
FANCA;TIMELESS_mis,-1.825117853,391
ATRIP_mis;RBX1_mis,-1.824511695,392
RAD9B;VPS72_mis,-1.824239461,393
COPS8;RFC2_mis,-1.822502903,394
COPS4;RFC5_mis,-1.821793276,395
COPS8;MEAF6,-1.821298672,396
ACTB;WDR70_mis,-1.820801477,397
OTUB1;RUVBL1_mis,-1.820581459,398
DDX1;INO80_mis,-1.820569146,399
NFRKB;TOPBP1_mis,-1.819948833,400
ACTR5;UVSSA,-1.81952093,401
ATRIP_mis;CHRNA4,-1.819015667,402
CDK7_mis;VPS72_mis,-1.818401596,403
APEX2;RFC1,-1.817290316,404
CDK2;MCM7,-1.817209034,405
BRCA2;POLA1,-1.816107252,406
BRCA1_mis;SHFM1_mis,-1.814765513,407
ATRIP_mis;GTF2H5,-1.81466025,408
BRCA2;POLR1B_mis,-1.814539948,409
GINS4_mis;RPA3_mis,-1.814268449,410
APEX2;TDP1,-1.813603034,411
HUS1_mis;NSMCE1_mis,-1.812989954,412
PPP4C;WDR70_mis,-1.812868443,413
CDK2;DDX1,-1.812003999,414
CHEK2;POLA1,-1.811924759,415
RAD51C;UHRF1,-1.809832384,416
HINFP_mis;HUS1_mis,-1.809383984,417
MTA1;POLA1,-1.809007978,418
DHX9;POLA1,-1.808782622,419
ACTR8_mis;VCP_mis,-1.807383137,420
BRCA2;RPA3_mis,-1.805603815,421
MCM7;SMC3,-1.805321769,422
CHEK2;CINP,-1.804764859,423
RFC1;UVSSA,-1.804470859,424
RBM17_mis;WDR33_mis,-1.803779032,425
MEAF6;TERF2,-1.803546821,426
FZR1;POLG2,-1.802376499,427
ACTR8_mis;BRCA1_mis,-1.802342684,428
GINS4_mis;PRPF19_mis,-1.800507715,429
POLR2L;TRRAP,-1.799467458,430
CEP164;RAD9A_mis,-1.798441628,431
RUVBL1_mis;TIMELESS_mis,-1.797743301,432
ACTR5;TOP3A,-1.796960784,433
MCM5;POLN,-1.796692053,434
ERCC1;RPA3_mis,-1.796630979,435
FZR1;VCP_mis,-1.796523507,436
GINS4_mis;USP45,-1.795995103,437
NFRKB;RFC5_mis,-1.795616816,438
HUS1_mis;RAD9B,-1.795406267,439
CHEK1_mis;TERF2,-1.795298767,440
GTF2H5;SMC3,-1.793394852,441
ATRIP_mis;MEAF6,-1.793034249,442
BRCA1_mis;RAD9B,-1.792192581,443
C11orf30;MCM5,-1.791773176,444
MUS81;TOP3A,-1.791518546,445
CDC45;GINS4_mis,-1.790207618,446
